YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,"Tech Author, Podcast Host",Miko Pawlikowski DnD.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: 7 Deadly Traps of SRE,"Site Reliability Engineering was never meant to be about firefighting, yet too many teams find themselves stuck in an endless cycle of pages, postmortems, and quick fixes. Why? Because SRE is full of hidden traps — patterns that look like best practices on the surface but slowly erode reliability, burn out engineers, and stall progress.

In this talk, we’ll expose the 7 Deadly Traps of SRE, from the obsession with chasing “five nines,” to the cult of on-call heroism, to the false comfort of tooling and checklists. For each trap, we’ll unpack why it’s so seductive, how it quietly sabotages your team, and what to do instead.

You’ll walk away with a clearer lens on the pitfalls holding SRE organizations back, and a practical playbook to help your team escape firefighting mode and reclaim the true purpose of SRE: building systems - and cultures - that are resilient, scalable, and human-friendly.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,confirmed,Russell Miles,1,1,ClearBank,Russell Miles DnD.png,https://www.linkedin.com/in/russmiles/,,,,Platforms Were Always the (Sword) Point,"DevOps, it turns out, is not dead. This is awkward for everyone who has already written the eulogy, ordered the wreaths, and booked the conference slot titled ""What Comes After DevOps.”

In fact, DevOps was never the thing at all, but rather the deeply misunderstood journey towards the thing — a long, occasionally slippery climb in which humans attempted to persuade software systems to deliver value without requiring nightly sacrifices, heroic memory feats, or a particularly knowledgeable individual often, spookily, named Dave.
 
Platforms, far from being a fashionable replacement, were somewhat always the destination: carefully constructed habitats designed to prevent developers from having to hold the entire universe in their heads at once, allowing value to flow calmly from idea to production without screaming. Just like DevOps.

Along the way, we made the classic mistake of becoming *certain*. Certain that more tools meant more progress. Certain that optimisation was the same as improvement. Certain that if everything was faster, the system must be better — even when the bottleneck remained stubbornly unmoved, quietly sipping tea and watching us optimise everything else.
 
In this talk Russ Miles, Internal Developer Platforms at ClearBank, explains the relationship between the Princess Bride and his DevOps journey, gently dismantling the illusion of certainty, borrowing from constraint theory, cognitive science, and the occasional sword fight to argue that nothing dies faster than an idea trapped in false certainty. DevOps lives precisely where curiosity survives, platforms succeed only when they remain evidenced, and the true purpose of all this effort is revealed to be astonishingly simple: to let value flow, humans think, and systems remain just boring enough not to notice — which, as it turns out, is rather the point.",,"Russell Miles is a technical product owner at ClearBank, focused on building internal developer platforms. He is also a long-time author with O’Reilly Media, with eight books published and another in progress, and brings a background spanning engineering leadership, product, and software architecture. Based in Eastbourne, England, he combines hands-on technical work with teaching, writing, and community service."
,confirmed,Daniel Afonso,1,1,PagerDuty,Daniel Afonso DnD.png,https://www.linkedin.com/in/danieljcafonso/,,danieljcafonso,,The State of AI in Incident Response,"How many times were you woken up during the night to either spend more time than you would like trying to figure out what exactly broke, or get frustrated once you figured out it was actually a false positive? Well, with Agents, this won't happen, and your organization will get better by using them.",,"Daniel Afonso is a Senior Developer Advocate at PagerDuty, SolidJS DX team member, Instructor at Egghead.io, and Author of State Management with React Query. Daniel has a full-stack background, having worked with different languages and frameworks on various projects from IoT to Fraud Detection. He is passionate about learning and teaching and has spoken at multiple conferences around the world about topics he loves. In his free time, when he's not learning new technologies or writing about them, he's probably reading comics or watching superhero movies and shows."
,confirmed,Tal Nordan,1,1,,Tal Nordan DnD.png,https://www.linkedin.com/in/talnordan/,,talnordan,,"The Full Picture: Visualizing Service ""Fullness"" to Rethink Saturation Prevention","Saturation is often measured indirectly, by CPU or queue depth, and not by capacity. Extending Envoy with eBPF tracks live concurrent requests against true limits, giving us direct visibility into ""fullness."" This cuts MTTR and eliminates the wasteful safety margins indirect metrics force us to use.",,"An early contributor to the Envoy proxy project, now working on developing tools to detect and mitigate inefficiencies in the way services interact with each other. Over the years Tal has been a founding engineer and a contractor working on a wide variety of cloud-native data-plane projects, including data protection and replication, API gateways, and security products."
,confirmed,Birol Yildiz,1,1,ilert,Birol Yildiz DnD.png,https://www.linkedin.com/in/birolyildiz/,,@birol_yildiz,,When Incidents Fix Themselves: AI SRE in action,"The next evolution of incident response isn’t faster alerts, it’s autonomous resolution. Join ilert CEO Birol Yildiz as he shows how AI SRE agents now diagnose and remediate outages without waking anyone up. Learn how these systems combine observability data, deployment context, and code intelligence to restore services in minutes and hand over clean incident reports instead of 3 a.m. pages.",,"Birol Yildiz is the Co-founder and CEO of ilert, adeptly steering the company with a rare combination of technical and product expertise. His prior experience includes a significant role as Chief Product Owner for Big Data products at REWE Digital. With a strong foundation in computer science, Birol bridges the gap between developer and product strategist, constantly striving to innovate and provide customer-centric solutions at ilert."
,confirmed,Matteo Emili,1,1,Avanade,Matteo Emili DnD.png,https://www.linkedin.com/in/matteoemili/,,,,What did it mean bringing Inner Source in an Enterprise?,"So many know the drill - a centre of excellence is stood up, some code and recommendations come out of it, nobody really uses it, back to the usual in a year or so. It happens very often in large enterprises trying to reinvent the engineering function

With this session though I am not here to complain or talk about failed attempts - I want to talk about an actual success story which absorbed over a year of my life (and it's still ongoing!), which led to a well-oiled Inner Source product in a large enterprise as well as a number of examples of collaborative development in a non-IT organisation.

It's been a journey, long and with mistakes, however successful in the end! Let's see how.",,"Matteo Emili is Director and Head of Software Engineering for Accenture Microsoft Business Group UKIA, leading teams at the intersection of modern engineering, DevOps, and AI. A Microsoft MVP, he focuses on practical, real world solutions and active community knowledge sharing."
,confirmed,Rui Duarte,1,1,IG Group,Rui Duarte DnD.png,https://www.linkedin.com/in/ruipmduarte/,,,,DevOps Didn't Die - It Grew Up,"The engineer gets a ticket: ""Production is down."" They fix it and move on. The DevOps engineer gets the same ticket and asks: ""How do we stop this happening again?"" They build alerting, write runbooks, and automate the recovery.
The platform engineer never sees the ticket. They designed a self-healing pattern six months ago that made the failure mode impossible.
This isn't a story about DevOps dying - it's about DevOps growing up. Through the lens of a typical day's work, we'll trace the evolution from reactive firefighting to proactive prevention to strategic design. Drawing on experience leading platform engineering at a fintech running multi-cloud infrastructure, we'll explore what actually changes as organisations mature: not the tools, but the questions we ask and where we invest our time.
You'll leave with a framework for recognising where your team sits on this journey, and practical steps to shift from fixing problems to designing them out of existence.",,"Rui is a Lead Platform Engineer at IG Group, where he leads a distributed platform engineering team across the UK , India and Poland. He works across AWS and GCP but is specialised in GCP. He spends his days building self-service infrastructure, and trying to mass-produce the kind of calm mornings that only come from good platform design."
,confirmed,Steve Fenton,1,1,Octopus Deploy,Steve Fenton DnD.png,https://www.linkedin.com/in/stevefenton/,,,,What if DevOps was really simple?,"I spent years taking on development teams and transforming them into high performers and the team members were never the problem. This session leans on years of ""transformations"" and a decade of research to provide some concrete steps you can take to do the same. The DORA research reveals what elite performers do differently, but knowing what to improve and actually making improvements are different challenges. This session cuts through the complexity to focus on the handful of high-impact capabilities you can start using today. You'll learn where to start for the biggest returns, how to sequence your efforts, and how to build momentum toward elite performance levels without trying to transform everything at once.",,"Steve Fenton researches the socio-technical systems behind software delivery; how organizations, people, and technology actually work together (or don’t). At Octopus Deploy, he explores GitOps, Platform Engineering, Continuous Delivery, and compliance through a lens shaped by punk history, psychology, and the kind of genre fiction that asks uncomfortable questions about systems and society.

He’s an eight-time Microsoft MVP (DevOps), a DORA Community Guide, and a member of the CNCF Platform Engineering Community Group. He’s written books on TypeScript, Octopus Deploy, and Web Operations Monitoring, and occasionally writes horror fiction that reveals truths about how things actually work.

A self-described Software Punk, pragmatist-abstractionist, and generalising-generalist, Steve studied Psychology at OSC and the history of punk (1976-1978) at the University of Reading. Those aren’t side interests; they’re how he thinks."
,confirmed,Joe Woodhouse,1,1,Prima Donna Consulting,Joe Woodhouse DnD.png,https://www.linkedin.com/in/joewoodhouseengineer/,,,,You Can't Outsource Production Judgement to Unqualified Systems ,"#### The Problem

You would never allow senior engineers to outsource core code decisions to unvetted offshore vendors without contracts or accountability.

Yet many teams deploy AI generated code with zero guardrails:
- No visibility into reasoning
- No clarity in review
- No cognitive engagement required from the engineer

---

#### Risks to the Individual Engineer

MIT research from 2025 shows that developers who rely on AI assistance exhibit persistent cognitive decline even after they stop using it. Recovery requires effort comparable to stroke rehabilitation.

Key risks include:
- Permanent debugging skill loss due to cognitive offloading
- Architectural judgment decay, especially in junior engineers who never implement full features
- Unrecoverable cognitive cost, where re skilling requires months of deliberate practice

---

#### Risks to the Engineering Department

The disruption of the junior to senior pipeline is structural. If AI prevents junior engineers from building foundational skills, organizations face a hiring and capability crisis within three to five years.

Department level risks include:
- Collapse of the junior to senior pipeline, leaving no internal talent for architects, on call rotations, or technical leadership
- Production reliability failures as on call teams lose the ability to debug or reason through incidents
- An uncontrollable blast radius from AI driven decisions that cannot be verified or explained
",,"Joe Woodhouse is a principal engineer and board-level adviser with over two decades of experience spanning low latency trading systems, large scale financial platforms, and technical leadership at the most senior levels. He has worked across global banks and financial institutions as a staff and principal engineer, combining deep hands on systems expertise with strategy, governance, and risk management. Joe is also a non executive director, bringing an engineer’s rigor to board decision making, particularly around technology, AI, and operational resilience. Based in London, he is known for bridging the gap between server room realities and boardroom accountability."
,confirmed,Steve Poole,1,1,HeroDevs,Steve Poole DnD.png,https://www.linkedin.com/in/noregressions/,,,,“Just Upgrade” Is Not a DevOps Strategy,"Upgrading is not a strategy, it is an action. One that often increases risk in complex, long-lived systems. This session challenges the illusion of control created by scanners, checklists, and “just upgrade” thinking. End-of-life software is an operational constraint to be managed with engineering judgment, not a ritual to be performed.",,"Accomplished technical leader and developer advocate with over three decades of experience in software engineering, LJC Community Director, DevOps, developer advocacy, and security, especially cybercrime and software supply chains. Recognized international public speaker and author on software supply chain security, AI, and cybercrime legislation, with a deep background in engineering and DevOps leadership"
